,wallet
2023-11-06 22:18:59,100.0
2023-11-06 22:19:29,100.02135730369885
2023-11-06 22:19:49,100.02135730369885
2023-11-06 22:20:02,100.01083583212342
2023-11-06 22:20:55,100.01083583212342
2023-11-06 22:20:57,100.01080731263336
2023-11-06 22:20:58,100.01080731263336
2023-11-06 22:21:01,100.01077879315143
2023-11-06 22:21:27,100.01077879315143
2023-11-06 22:21:32,100.01077879315143
2023-11-06 22:21:33,100.01077879315143
2023-11-06 22:21:34,100.01075027360446
2023-11-06 22:21:36,100.01075027360446
2023-11-06 22:21:41,100.01072175406561
2023-11-06 22:21:46,100.01072175406561
2023-11-06 22:21:47,100.01069323453491
2023-11-06 22:21:54,100.01069323453491
2023-11-06 22:21:56,100.01066471501234
2023-11-06 22:21:57,100.01066471501234
2023-11-06 22:22:01,100.0106361954979
2023-11-06 22:22:02,100.0106361954979
2023-11-06 22:22:04,100.01060767599158
2023-11-06 22:22:05,100.01060767599158
2023-11-06 22:22:07,100.0105791564934
2023-11-06 22:22:08,100.0105791564934
2023-11-06 22:22:13,100.01055063700336
2023-11-06 22:22:16,100.01055063700336
2023-11-06 22:22:18,100.01052211752145
2023-11-06 22:22:20,100.01052211752145
2023-11-06 22:22:21,100.01049359804767
2023-11-06 22:22:23,100.01049359804767
2023-11-06 22:22:24,100.01046507858204
2023-11-06 22:22:28,100.01046507858204
2023-11-06 22:23:09,100.01497114516116
2023-11-06 22:23:33,100.01497114516116
2023-11-06 22:23:34,100.01494262576055
2023-11-06 22:24:06,100.01494262576055
2023-11-06 22:24:08,100.01491410623797
2023-11-06 22:24:10,100.01491410623797
2023-11-06 22:24:40,100.01990502126665
2023-11-06 22:24:41,100.01990502126665
2023-11-06 22:24:45,100.01987650176035
2023-11-06 22:24:46,100.01987650176036
2023-11-06 22:25:13,100.01984798237604
2023-11-06 22:25:15,100.01984798237604
2023-11-06 22:25:16,100.01981946299983
2023-11-06 22:25:19,100.01981946299983
2023-11-06 22:25:20,100.01979094363178
2023-11-06 22:25:22,100.01979094363178
2023-11-06 22:25:23,100.01976242427185
2023-11-06 22:25:26,100.01976242427185
2023-11-06 22:25:27,100.01973390492005
2023-11-06 22:25:28,100.01973390492005
2023-11-06 22:25:30,100.01970538557639
2023-11-06 22:25:31,100.01970538557639
2023-11-06 22:25:32,100.01967686624086
